Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
CNN,Cardia Bioplastics Ltd,11/04/2014,Rights Entitlements,6137400118897200,,Netwealth,562500,187500,,750000,,,,
CNNO,Cardia Bioplastics Ltd,11/04/2014,Rights Entitlements,6137400118928600,,Netwealth,,62500,,62500,,,,
NAB,National Australia Bank,20/05/2013,Sold,0638100618466100,,Netwealth,172,,172,0,,,,
CBS,Cabral Resources Ltd,3/04/2013,Bought,0140214831789200,,Commsec,,102990,,102990,,,,
CBS,Cabral Resources Ltd,4/04/2013,Bought,0140214833357800,,Commsec,102990,137010,,240000,,,,
NMR,Nimrodel Resources Ltd,15/04/2013,Security Code Change,001293A2CWZDTJ00,to: WKT,Commsec,70000,,70000,0,,,,
WKT,Walkabout Resources Ltd,15/04/2013,Security Code Change,001293A2CWZDTJ00,from: NMR,Commsec,,70000,,70000,,,,
WCN,White Cliff Minerals Limited,3/04/2013,Bought,0140214832139700,,Commsec,,240000,,240000,,,,
CXY,Cougar Energy Ltd,11/10/2013,Security Code Change,001293S3D4LDEK00,to: MRV,Commsec,220000,,220000,0,,,,
MRV,Moreton Resources Ltd,11/10/2013,Security Code Change,001293S3D4LDEK00,from: CXY,Commsec,,220000,,220000,,,,
MNW,Mint Wireless Ltd,23/10/2013,Bought,0140215070519000,,Commsec,,13000,,13000,,,,
NEA,Nearmap Ltd,14/10/2013,Sold,0140215057785900,,Commsec,13000,,13000,0,,,,
AHZ,Allied Healthcare Group,28/10/2013,Bought,0638100733648100,,Netwealth,,38000,,38000,,,,
AMP,AMP Ltd,11/10/2013,DRP,5870600225421400,,Netwealth,269,7,,276,,,,
CXY,Cougar Energy Ltd,11/10/2013,Security Code Change,001293S3D42AEC00,to: MRV,Netwealth,160000,,160000,0,,,,
MRV,Moreton Resources Ltd,11/10/2013,Security Code Change,001293S3D42AEC00,from: CXY,Netwealth,,160000,,160000,,,,
MBN,Mirabela Nickel Ltd,1/10/2013,Sold,0638100717289800,,Netwealth,125000,,125000,0,,,,
SDL,Sundance Resources Ltd,25/10/2013,Sold,0638100732138900,,Netwealth,25000,,25000,0,,,,
AMP,AMP Ltd,11/04/2013,DRP,5870600219027400,,Netwealth,263,6,,269,,,,
RMI,Resource Mining Corporation,15/03/2012,Rights Entitlements,,,Commsec,,30000,,30000,,,,
RMIOB,Resource Mining Corporation,15/03/2012,Rights Entitlements,,,Commsec,,7500,,7500,,,,
AKK,Austin Exploration Ltd,15/03/2013,Bought,0140214813411300,,Commsec,,325898,,325898,,,,
AKK,Austin Exploration Ltd,18/03/2013,Bought,0140214814816500,,Commsec,325898,24102,,350000,,,,
NRU,Newera Resources Ltd,7/01/2013,Bought,0638100538417900,,Netwealth,155000,170000,,325000,,,,
NRU,Newera Resources Ltd,15/01/2013,Bought,0140214727458900,,Commsec,,400000,,400000,,,,
RXL,Rox Resources Ltd,11/01/2013,Sold,0140214723043400,,Commsec,190000,,190000,0,,,,
AKKOA,Austin Exploration Ltd,25/01/2013,Bought,0140214745018000,,Commsec,,500000,,500000,,,,
AKKOA,Austin Exploration Ltd,29/01/2013,Sold,0140214746639100,,Commsec,500000,,500000,0,,,,
ADY,Admiralty Resources NL,12/03/2008,Bought,0606603461671200,,Netwealth,,19500,,19500,,,,
AGM,Allegiance Mining NL,4/03/2008,Sold,0606603460280300,,Netwealth,9000,,9000,0,,,,
MLS,Metals Australia Ltd,6/03/2008,Bought,0606603460921100,,Netwealth,,20000,,20000,,,,
MLS,Metals Australia Ltd,18/03/2008,Bought,0606603462473700,,Netwealth,20000,74000,,94000,,,,
CCL,Coca-Cola Amatil Ltd,7/04/2008,DRP,5899001219321200,,Netwealth,368,7,,375,,,,
DYL,Deep Yellow Ltd,2/04/2008,Bought,0606603463995400,,Netwealth,,19000,,19000,,,,
KALO,Kalgoorlie-Boulder Resources Ltd,14/04/2008,Bought,0606603465656300,,Netwealth,,62500,,62500,,,,
KALO,Kalgoorlie-Boulder Resources Ltd,15/04/2008,Bought,0606603465844400,,Netwealth,62500,1500,,64000,,,,
GTE,Great Western Exploration Ltd,30/05/2008,Rights Entitlements,6091700000967700,,Netwealth,15142,15142,,30284,,,,
GTEO,Great Western Exploration Ltd,30/05/2008,Rights Entitlements,6091700000916400,,Netwealth,,7571,,7571,,,,
CHB,Coca-Cola HBC s.a.,21/11/2007,Allotment from Bonus Issue,5964300000650700,,Netwealth,27,13,,40,,,,
GSE,Goldsearch Ltd,6/11/2007,Exercise of Options,5953000000255500,,Netwealth,,120000,,120000,,,,
GSEO,Goldsearch Ltd,6/11/2007,Exercise of Options,5953000000255500,,Netwealth,120000,,120000,0,,,,
CCL,Coca-Cola Amatil Ltd,2/10/2007,DRP,5899001088307800,,Netwealth,361,7,,368,,,,
GSE,Goldsearch Ltd,6/11/2007,Exercise of Options,5953000000255400,,Commsec,,100000,,100000,,,,
GSEO,Goldsearch Ltd,6/11/2007,Exercise of Options,5953000000255400,,Commsec,100000,,100000,0,,,,
