Confirmation Number, Order Number, Trade Date, Buy / Sell, Stock Code, Units, Average Price, Brokerage, Net Proceeds, Settlement Date, Contract Status
26807960,Unk-26807960,15/08/2007,S,RMG,925000,.020000,57.340000,18442.660000,20/08/2007,Confirmed
26772691,Unk-26772691,14/08/2007,S,JMS,41000,.245000,31.140000,10013.860000,17/08/2007,Confirmed
26768301,Unk-26768301,13/08/2007,S,MLS,89000,.074000,29.950000,6556.050000,16/08/2007,Confirmed
26766604,Unk-26766604,13/08/2007,B,BLR,49000,.195000,29.950000,9584.950000,16/08/2007,Confirmed
26757945,Unk-26757945,13/08/2007,S,CUL,90000,.100000,29.950000,8970.050000,16/08/2007,Confirmed
26757161,Unk-26757161,13/08/2007,B,BLRO,55500,.180000,29.950000,10019.950000,16/08/2007,Confirmed
26757028,Unk-26757028,13/08/2007,B,RMI,130000,.076000,29.950000,9909.950000,16/08/2007,Confirmed
26756954,Unk-26756954,13/08/2007,B,JMS,41000,.240000,29.950000,9869.950000,16/08/2007,Confirmed
26756844,Unk-26756844,13/08/2007,B,RMG,475000,.021000,29.950000,10004.950000,16/08/2007,Confirmed
26756345,Unk-26756345,13/08/2007,B,BLR,44000,.225000,29.950000,9929.950000,16/08/2007,Confirmed
26755332,Unk-26755332,13/08/2007,B,MLS,140000,.071000,29.950000,9969.950000,16/08/2007,Confirmed
26753943,Unk-26753943,13/08/2007,B,WMT,49500,.200000,29.950000,9929.950000,16/08/2007,Confirmed
26753724,Unk-26753724,13/08/2007,B,GGY,79000,.125000,29.950000,9904.950000,16/08/2007,Confirmed
26747378,Unk-26747378,13/08/2007,B,CUL,90000,.110000,29.950000,9929.950000,16/08/2007,Confirmed
26702885,Unk-26702885,10/08/2007,S,AEX,275000,.037000,31.540000,10143.460000,15/08/2007,Confirmed
26701221,Unk-26701221,09/08/2007,S,YML,73,.585000,29.950000,12.760000,14/08/2007,Confirmed
26688345,Unk-26688345,09/08/2007,S,AGM,15000,.655000,29.950000,9795.050000,14/08/2007,Confirmed
26688008,Unk-26688008,09/08/2007,S,MLS,125000,.076000,29.950000,9470.050000,14/08/2007,Confirmed
26678614,Unk-26678614,09/08/2007,B,GGY,71000,.140000,29.950000,9969.950000,14/08/2007,Confirmed
26662914,Unk-26662914,08/08/2007,S,RMI,135000,.077000,32.220000,10362.780000,13/08/2007,Confirmed
26653096,Unk-26653096,07/08/2007,S,GGY,71000,.140000,29.950000,9910.050000,10/08/2007,Confirmed
26649835,Unk-26649835,07/08/2007,B,RMI,135000,.074000,29.950000,10019.950000,10/08/2007,Confirmed
26647403,Unk-26647403,07/08/2007,B,AGM,15000,.655000,29.950000,9854.950000,10/08/2007,Confirmed
26645686,Unk-26645686,07/08/2007,S,INL,71000,.140000,29.950000,9910.050000,10/08/2007,Confirmed
26642574,Unk-26642574,07/08/2007,S,WMT,52000,.205000,33.040000,10626.960000,10/08/2007,Confirmed
26638055,Unk-26638055,07/08/2007,B,MLS,125000,.075000,29.950000,9404.950000,10/08/2007,Confirmed
26627632,Unk-26627632,06/08/2007,S,RMI,12400,.074000,2.160000,915.440000,09/08/2007,Confirmed
26627422,Unk-26627422,06/08/2007,S,RMI,127600,.074000,29.950000,9412.450000,09/08/2007,Confirmed
26624762,Unk-26624762,06/08/2007,B,AEX,275000,.036000,29.950000,9929.950000,09/08/2007,Confirmed
26624001,Unk-26624001,06/08/2007,B,GGY,71000,.140000,29.950000,9969.950000,09/08/2007,Confirmed
26622426,Unk-26622426,06/08/2007,B,RMG,450000,.022000,29.950000,9929.950000,09/08/2007,Confirmed
26617003,Unk-26617003,06/08/2007,B,INL,71000,.140000,29.950000,9969.950000,09/08/2007,Confirmed
26614439,Unk-26614439,06/08/2007,B,RMI,140000,.071000,29.950000,9969.950000,09/08/2007,Confirmed
26613965,Unk-26613965,06/08/2007,S,GGY,68000,.150000,31.610000,10168.390000,09/08/2007,Confirmed
26611444,Unk-26611444,06/08/2007,B,WMT,52000,.190000,29.950000,9909.950000,09/08/2007,Confirmed
26607563,Unk-26607563,06/08/2007,B,GGY,68000,.145000,29.950000,9889.950000,09/08/2007,Confirmed
26603213,Unk-26603213,06/08/2007,S,SRI,86000,.105000,29.950000,9000.050000,09/08/2007,Confirmed
26600617,Unk-26600617,06/08/2007,S,GGY,66000,.145000,29.950000,9540.050000,09/08/2007,Confirmed
26594028,Unk-26594028,03/08/2007,B,GGY,66000,.150000,29.950000,9929.950000,09/08/2007,Confirmed
26590702,Unk-26590702,03/08/2007,S,BLR,54000,.180000,29.950000,9690.050000,09/08/2007,Confirmed
26588632,Unk-26588632,03/08/2007,S,RMI,106000,.088000,29.950000,9298.050000,09/08/2007,Confirmed
26583763,Unk-26583763,03/08/2007,B,RMI,106000,.094000,29.950000,9993.950000,09/08/2007,Confirmed
26582540,Unk-26582540,03/08/2007,B,YML,17000,.580000,29.950000,9889.950000,09/08/2007,Confirmed
26573734,Unk-26573734,03/08/2007,B,BLR,54000,.185000,29.950000,10019.950000,09/08/2007,Confirmed
26569602,Unk-26569602,02/08/2007,S,RMI,106000,.096000,31.550000,10144.450000,08/08/2007,Confirmed
26569021,Unk-26569021,02/08/2007,S,MLS,129000,.077000,29.950000,9903.050000,08/08/2007,Confirmed
26564118,Unk-26564118,02/08/2007,S,WMT,49000,.195000,29.950000,9525.050000,08/08/2007,Confirmed
26563447,Unk-26563447,02/08/2007,B,MLS,129000,.077000,29.950000,9962.950000,08/08/2007,Confirmed
26562423,Unk-26562423,02/08/2007,B,RMI,106000,.094000,29.950000,9993.950000,08/08/2007,Confirmed
26560747,Unk-26560747,02/08/2007,S,CUL,66000,.140000,29.950000,9210.050000,08/08/2007,Confirmed
26559754,Unk-26559754,02/08/2007,S,BLR,54000,.185000,29.950000,9960.050000,08/08/2007,Confirmed
26558801,Unk-26558801,02/08/2007,S,AEX,240000,.039000,29.950000,9330.050000,08/08/2007,Confirmed
26557469,Unk-26557469,02/08/2007,S,APG,86000,.115000,29.950000,9860.050000,08/08/2007,Confirmed
26557402,Unk-26557402,02/08/2007,B,WMT,49000,.200000,29.950000,9829.950000,08/08/2007,Confirmed
26550434,Unk-26550434,02/08/2007,B,SRI,86000,.115000,29.950000,9919.950000,08/08/2007,Confirmed
26548637,Unk-26548637,02/08/2007,S,RMI,95000,.100000,29.950000,9470.050000,08/08/2007,Confirmed
